System,Star,Distance,AU
Solar System,Sun (Sol),0.0000158,1
Alpha Centauri,Proxima Centauri (V645 Centauri),4.2441,268401.1281
,α Centauri A (Rigil Kentaurus),4.365,276046.965
,α Centauri B (Toliman),4.365,276046.965
Barnard's Star (BD+04°3561a),,5.9577,376770.9057
"Luhman 16
(WISE 1049−5319)",Luhman 16A,6.5029,411249.8989
,Luhman 16B,6.5029,411249.8989
WISE 0855−0714,,7.26,459129.66
Wolf 359 (CN Leonis),,7.856,496821.296
Lalande 21185 (BD+36°2147),,8.307,525342.987
"Sirius
(α Canis Majoris)",Sirius A,8.659,547603.819
,Sirius B,8.659,547603.819
Luyten 726-8,Luyten 726-8 A (BL Ceti),8.791,555951.631
,Luyten 726-8 B (UV Ceti),8.791,555951.631
Ross 154 (V1216 Sagittarii),,9.7035,613659.0435
Ross 248 (HH Andromedae),,10.2903,650768.8623
Epsilon Eridani (Ran),,10.446,660615.486
Lacaille 9352 (GJ 887),,10.7211,678013.0851
Ross 128 (FI Virginis),,11.0074,696118.9834
"EZ Aquarii
(Gliese 866, Luyten 789-6)",EZ Aquarii A,11.109,702544.269
,EZ Aquarii B,11.109,702544.269
,EZ Aquarii C,11.109,702544.269
61 Cygni,61 Cygni A (BD+38°4343),11.4008,720997.9928
,61 Cygni B (BD+38°4344),11.4008,720997.9928
"Procyon
(α Canis Minoris)",Procyon A,11.402,721073.882
,Procyon B,11.402,721073.882
"Struve 2398
(Gliese 725, BD+59°1915)",Struve 2398 A (HD 173739),11.488,726512.608
,Struve 2398 B (HD 173740),11.488,726512.608
"Groombridge 34
(Gliese 15)",Groombridge 34 A (GX Andromedae),11.6182,734746.5862
,Groombridge 34 B (GQ Andromedae),11.6182,734746.5862
DX Cancri (G 51-15),,11.678,738528.398
Tau Ceti (BD−16°295),,11.753,743271.473
"Epsilon Indi
(CPD−57°10015)",Epsilon Indi A,11.869,750607.429
,Epsilon Indi Ba,11.869,750607.429
,Epsilon Indi Bb,11.869,750607.429
GJ 1061 (LHS 1565),,11.9803,757646.1523
YZ Ceti (LHS 138),,12.1084,765747.3244
Luyten's Star (BD+05°1668),,12.199,771476.959
Teegarden's Star (SO025300.5+165258),,12.496,790259.536
Kapteyn's Star (CD−45°1841),,12.8294,811344.0854
Lacaille 8760 (AX Microscopii),,12.9515,819065.8115
SCR 1845-6357,SCR 1845-6357 A,13.05,825295.05
,SCR 1845-6357 B,13.05,825295.05
"Kruger 60
(BD+56°2783)",Kruger 60 A,13.0724,826711.6484
,Kruger 60 B (DO Cephei),13.0724,826711.6484
DEN 1048-3956,,13.1932,834351.1612
"Ross 614
(V577 Monocerotis, Gliese 234)",Ross 614A (LHS 1849),13.424,848947.184
,Ross 614B (LHS 1850),13.424,848947.184
UGPS J0722-0540,,13.43,849326.63
"Wolf 1061 (Gliese 628, BD−12°4523)",,14.0458,888270.4378
"Wolf 424
(FL Virginis, LHS 333, Gliese 473)",Wolf 424 A,14.05,888536.05
,Wolf 424 B,14.05,888536.05
"Van Maanen's star (Gliese 35, LHS 7)",,14.0744,890079.1304
Gliese 1 (CD−37°15492),,14.1725,896283.0725
WISE 1639-6847,,14.3,904346.3
"L 1159-16 (TZ Arietis, Gliese 83.1)",,14.5843,922325.7163
Gliese 674 (LHS 449),,14.838,938369.958
"Gliese 687 (LHS 450, BD+68°946)",,14.8401,938502.7641
LHS 292 (LP 731-58),,14.885,941342.285
"LP 145-141 (WD 1142-645, Gliese 440)",,15.1182,956090.0862
"G 208-44
G 208-45
(GJ 1245)",G 208-44 A (V1581 Cyg),15.209,961832.369
,G 208-45,15.209,961832.369
,G 208-44 B,15.209,961832.369
Gliese 876 (Ross 780),,15.2504,964450.5464
LHS 288 (Luyten 143-23),,15.7703,997329.5423
GJ 1002,,15.8164,1000244.952
Groombridge 1618 (Gliese 380),,15.8797,1004248.108
DEN 0255-4700,,15.885,1004583.285
Gliese 412,Gliese 412 A,15.983,1010780.903
,Gliese 412 B (WX Ursae Majoris),15.983,1010780.903
Gliese 832,,16.1939,1024118.43
AD Leonis,,16.197,1024314.477
GJ 1005,GJ 1005 A,16.26,1028298.66
,GJ 1005 B,16.26,1028298.66
WISE J0521+1025,,16.3,1030828.3